aqua,FF00FFFF
aquamarine,FF7FFFD4
azure,FFF0FFFF
beige,FFF5F5DC
bisque,FFFFE4C4
black,FF000000
blood,FFFF0000
blue,FF0000FF
brown,FFA52A2A
chartreuse,FF7FFF00
chocolate,FFD2691E
coral,FFFF7F50
crimson,FFDC143C
cyan,FF00FFFF
fuchsia,FFFF00FF
gainsboro,FFDCDCDC
gold,FFFFD700
gray,FF808080
green,FF008000
grey,FF808080
gray,FF808080
honeydew,FFF0FFF0
indigo,FF4B0082
ivory,FFFFFFF0
khaki,FFF0E68C
lavender,FFE6E6FA
lime,FF00FF00
linen,FFFAF0E6
magenta,FFFF00FF
maroon,FF800000
moccasin,FFFFE4B5
navy,FF000080
olive,FF808000
orange,FFFFA500
orchid,FFDA70D6
peru,FFCD853F
pink,FFFFC0CB
plum,FFDDA0DD
purple,FF800080
red,FFFF0000
salmon,FFFA8072
sienna,FFA0522D
silver,FFC0C0C0
snow,FFFFFAFA
springgreen,FF00FF7F
tan,FFD2B48C
teal,FF008080
thistle,FFD8BFD8
tomato,FFFF6347
turquoise,FF40E0D0
violet,FFEE82EE
wheat,FFF5DEB3
white,FFFFFFFF
yellow,FFFFFF00
Almond,FFEFDBC5
Apricot,FFFDD9B5
Aquamarine,FF78DBE2
Asparagus,FF87A96B
Beaver,FF9F8170
Bittersweet,FFFD7C6E
Black,FF232323
Blue,FF1F75FE
Blush,FFDE5D83
Brown,FFB4674D
Canary,FFFFFF99
Cerise,FFDD4492
Cerulean,FF1DACD6
Chestnut,FFBC5D58
Copper,FFDD9475
Dandelion,FFFDDB6D
Denim,FF2B6CC4
Eggplant,FF6E5160
Fern,FF71BC78
Fuchsia,FFC364C5
Gold,FFE7C697
Gray,FF95918C
Green,FF1CAC78
Indigo,FF5D76CB
Lavender,FFFCB4D5
Magenta,FFF664AF
Mahogany,FFCD4A4A
Manatee,FF979AAA
Maroon,FFC8385A
Melon,FFFDBCB4
Orange,FFFF7538
Orchid,FFE6A8D7
Peach,FFFFCFAB
Periwinkle,FFC5D0E6
Plum,FF8E4585
Red,FFEE204D
Salmon,FFFF9BAA
Scarlet,FFFC2847
SeaGreen,FF9FE2BF
Sepia,FFA5694F
Shadow,FF8A795D
Shamrock,FF45CEA2
Silver,FFCDC5C2
Tan,FFFAA76C
Tumbleweed,FFDEAA88
White,FFEDEDED
Wisteria,FFCDA4DE
Yellow,FFFCE883
